item_type,date_uploaded,source_file,item_id,title,genre,source,date,place_of_origin,subject,item_format,language,contributor,rights,alternative_title
['still image'],2024-12-08,loc-item-metadata\cph-3g08479.json,2002700239,Gokakoku ... gankirō ni oite sakamori no zu,"['Triptychs--Japanese--1860', 'Woodcuts--Japanese--Color--1860']",https://www.loc.gov/item/2002700239/,1860.,['Japan--Yokohama-shi'],"['Foreign visitors--Japan--Yokohama-shi--1860', 'Entertainment--Japan--Yokohama-shi--1860', 'Courtesans--Japan--Yokohama-shi--1860', 'Eating & drinking--Japan--Yokohama-shi--1860', 'Teahouses--Japan--Yokohama-shi--1860-1870']","['1 print on hōsho paper (3 sheets) : woodcut, color ; 36.5 x 24.5 cm. (each block), 37 x 24.8 cm. (each sheet)']",['jpn'],"['Ochiai, Yoshiiku, 1833-1904, artist.']",No known restrictions on publication.,['Five nations - merrymaking at the Gankirō tea house.']
['still image'],2024-12-08,loc-item-metadata\cph-3g10372.json,2002700113,[Village scene in Japan showing people engaged in various activities],['Woodcuts--Japanese--Color--1860-1880'],https://www.loc.gov/item/2002700113/,[ca. 1870],['Japan'],"['City & town life--Japan--1860-1880', 'Rickshaws--Japan--1860-1880', 'Horseback riding--Japan--1860-1880', 'Boats--Japan--1860-1880', 'Farming--Japan--1860-1880', 'Conversation--1860-1880']","['1 print on hōsho paper : woodcut, color ; 35 x 23 cm. (block), 35.6 x 23 cm. (sheet)']",['jpn'],Not found,No known restrictions on publication.,Not found
['still image'],2024-12-08,loc-item-metadata\cph-3g10434.json,2002700173,Ueno kōen naikoku kangyō daini hakurankai bijutsukan narabini [shojo] funsuiki no zu,"['Woodcuts--Japanese--Color--1880-1890', 'Triptychs--Japanese--Color--1880-1890']",https://www.loc.gov/item/2002700173/,1881.,"['Japan--Tokyo', 'Ueno Kōen (Tokyo, Japan)']","['Exhibitions--Japan--Tokyo--1880-1890', 'People--Japan--Tokyo--1880-1890', 'Fountains--Japan--Tokyo--1880-1890', 'Ueno Kōen (Tokyo, Japan)']","['1 print on hōsho paper (3 sheets) : woodcut, color ; each block 36.2 x 24.2 cm., each sheet 37.5 x 25 cm.']",['jpn'],"['Utagawa, Hiroshige, 1842?-1894, artist, engraver.']",No known restrictions on publication.,['Second national industrial exhibition at Ueno Park.']
['still image'],2024-12-08,loc-item-metadata\cph-3g10521.json,2002700238,Amerikajin yūgyō,['Woodcuts--Japanese--Color--1860-1870'],https://www.loc.gov/item/2002700238/,[186-],['Japan'],"['Foreign visitors--American--Japan--1860-1870', 'Families--Japan--1860-1870', 'Walking--Japan--1860-1870', 'Recreation--Japan--1860-1870']","['1 print on hōsho paper : woodcut, color ; 35.5 x 24.2 cm. (block), 37.5 x 25.2 cm. (sheet)']",['jpn'],"['Utagawa, Yoshifuji, 1828-1887, artist.']",No known restrictions on publication.,['Americans taking a stroll.']
['still image'],2024-12-08,loc-item-metadata\cph-3g10539.json,2002700255,Amerikakoku jōkisenchū no zu,"['Triptychs--Japanese--1860-1870', 'Woodcuts--Japanese--Color--1860-1870']",https://www.loc.gov/item/2002700255/,1861.,['Japan'],"['Dining rooms--Japan--1860-1870', 'Passenger quarters--1860-1870', 'Eating & drinking--Japan--1860-1870', 'Ships--American--Japan--1860-1870']","['1 print on hōsho paper (3 sheets) : woodcut, color ; 35.9 x 24.4 cm. (each block), 37.2 x 25.6 cm. (each sheet)']",['jpn'],"['Utagawa, Yoshikazu, active 1848-1863, artist.']",No known restrictions on publication.,['Interior of an American steamship.']
['still image'],2024-12-08,loc-item-metadata\jpd-00046.json,2009615043,Koishikawa yuki no ashita,"['Landscape prints--1830-1840', 'Ukiyo-e--Japanese--1830-1840', 'Woodcuts--Japanese--Color--1830-1840']",https://www.loc.gov/item/2009615043/,[1832 or 1833],['Japan'],"['Snow--Japan--1830-1840', 'Winter--Japan--1830-1840']","['1 print : woodcut, color ; 25.3 x 37.4 cm.']",['jpn'],"['Katsushika, Hokusai, 1760-1849, artist.']",No known restrictions on publication.,['Snow at Koishikawa.']
['still image'],2024-12-08,loc-item-metadata\jpd-00139.json,2009615132,Semitori,"['Ukiyo-e--Japanese--1760-1770', 'Woodcuts--Japanese--Color--1760-1770']",https://www.loc.gov/item/2009615132/,1765.,['Japan'],"['Women--Domestic life--Japan--1760-1770', 'Children--Japan--1760-1770', 'Recreation--Japan--1760-1770', 'Crickets--Japan--1760-1770']","['1 print : woodcut, color ; 27.7 x 19.1 cm.']",['jpn'],"['Suzuki, Harunobu, 1725?-1770, artist.']",No known restrictions on publication.,['Catching crickets.']
['still image'],2024-12-08,loc-item-metadata\jpd-00154.json,2009615185,Hanami zuki,"['Ukiyo-e--Japanese--1780-1790', 'Woodcuts--Japanese--Color--1780-1790']",https://www.loc.gov/item/2009615185/,[between 1785 and 1789],['Japan'],"['Cherry trees--Japan--1780-1790', 'Women--Social life--Japan--1780-1790', 'Courtesans--Japan--1780-1790', 'Red-light districts--Japan--1780-1790']","['1 print : woodcut, color ; 22.4 x 15.9 cm.']",['jpn'],"['Torii, Kiyonaga, 1752-1815, artist.']",No known restrictions on publication.,['Cherry blossom viewing month.']
['still image'],2024-12-08,loc-item-metadata\jpd-00181.json,2009615173,Kanbara,"['Ukiyo-e--Japanese--1850-1860', 'Woodcuts--Japanese--Color--1850-1860']",https://www.loc.gov/item/2009615173/,[ca. 1855],"['Japan', 'Tōkaidō (Japan)', 'Fuji, Mount (Japan)']","['Pilgrimages--Japan--1850-1860', 'Pilgrims--Japan--1850-1860', 'Teahouses--Japan--1850-1860', 'Tōkaidō (Japan)', 'Fuji, Mount (Japan)']","['1 print : woodcut, color ; 36 x 24.7 cm.']",['jpn'],"['Andō, Hiroshige, 1797-1858, artist.']",No known restrictions on publication.,Not found
['still image'],2024-12-08,loc-item-metadata\jpd-00278.json,2009615268,Higashi no kata Arakuma,"['Portrait prints--1840-1850', 'Ukiyo-e--Japanese--1840-1850', 'Woodcuts--Japanese--Color--1840-1850']",https://www.loc.gov/item/2009615268/,[ca. 1847],['Japan'],['Sumo wrestlers--Japan--1840-1850'],"['1 print : woodcut, color ; 38.3 x 25.7 cm.']",['jpn'],"['Utagawa, Kunisada, 1786-1864, artist.']",No known restrictions on publication.,['The wrestler Arakuma of the East Side.']
