attribute	value
_version_	1798732638728486912
access_restricted	False
aka	['https://hdl.loc.gov/loc.music/musihas.200215965', 'http://www.loc.gov/resource/music.musihas-200215965/', 'http://www.loc.gov/item/musihas.200215965/']
call_number	['series: Production Records, 1934-1943: Posters File, undated']
campaigns	[]
contributor_names	['Federal Theatre Project (U.S.)']
contributors	[{'federal theatre project (u.s.)': 'https://www.loc.gov/search/?fa=contributor:federal+theatre+project+%28u.s.%29&fo=json'}]
date	1934
dates	[{'1934 to 1943': 'https://www.loc.gov/search/?dates=1934/1943&fo=json'}]
digital_id	['https://hdl.loc.gov/loc.music/musihas.200215965']
digitized	True
display_offsite	True
extract_timestamp	2024-05-11T05:07:20.230Z
extract_urls	['https://repo.loc.gov/access/public/music/musihas-200215965/.resource.json#paprika-music']
format	[{'book': 'https://www.loc.gov/search/?fa=original_format:book&fo=json'}]
genre	['Posters']
group	['paprika-music']
hassegments	False
id	http://www.loc.gov/item/musihas.200215965/
image_url	['https://tile.loc.gov/image-services/iiif/public:music:musihas-200215965:musihas-200215965.0001/full/pct:6.25/0/default.jpg', 'https://tile.loc.gov/image-services/iiif/public:music:musihas-200215965:musihas-200215965.0001/full/pct:6.25/0/default.jpg#h=579&w=369', 'https://tile.loc.gov/image-services/iiif/public:music:musihas-200215965:musihas-200215965.0001/full/pct:12.5/0/default.jpg#h=1159&w=739', 'https://tile.loc.gov/image-services/iiif/public:music:musihas-200215965:musihas-200215965.0001/full/pct:25.0/0/default.jpg#h=2318&w=1479', 'https://tile.loc.gov/image-services/iiif/public:music:musihas-200215965:musihas-200215965.0001/full/pct:50.0/0/default.jpg#h=4636&w=2958', 'https://tile.loc.gov/image-services/iiif/public:music:musihas-200215965:musihas-200215965.0001/full/pct:100.0/0/default.jpg#h=9273&w=5916']
index	1
item	{'call_number': ['series: Production Records, 1934-1943: Posters File, undated'], 'contributors': ['Federal Theatre Project (U.S.)'], 'date': '1934/1943', 'digital_id': ['https://hdl.loc.gov/loc.music/musihas.200215965'], 'format': 'text', 'genre': ['Posters'], 'language': ['eng'], 'medium': ['1 poster: 14x22in'], 'notes': ['From Federal Theatre Project Collection (Production Records, 1934-1943/Posters File). Collection of approximately 1,000 posters of varying sizes of poster board done by the silk screen, offset lithography, and letterpress processes, as well as by hand. Produced by the Federal Art Project poster division and by artists employed directly by the FTP, the posters advertise over 500 productions in 91 cities in 24 states and the District of Columbia.', 'Text on Poster: Federal Theatre "Dragon\'s Wishbone" Childrens\' Play by Joan & Michael Slane Children 10c Adults 20c Federal Theatre Rainier & Atlantic Sat. Matinee 2.00 P.M. May 13-20-27'], 'related_items': [{'title': 'View Federal Theatre Project Collection Finding Aid', 'url': 'https://hdl.loc.gov/loc.music/eadmus.mu995001'}], 'repository': 'music division', 'rights': 'No known restrictions on use or reproduction.', 'source_collection': 'Federal Theatre Project, 1935 to 1939', 'subjects': ['Theater--United States.', 'Posters'], 'title': "Dragon's Wishbone"}
language	['english']
languages	[{'english': 'https://www.loc.gov/search/?fa=language:english&fo=json'}]
medium	['1 poster: 14x22in']
mime_type	['image/jpeg', 'image/jp2']
