attribute	value
version	3.4
schemaLocation	http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-4.xsd
titleInfo	{'type': '', 'authority': '', 'usage': 'primary', 'lang': 'eng', 'script': '', 'title': {'$': 'Buddhist priests at their shrine.'}}
typeOfResource	{'$': 'still image'}
genre	{'authority': 'lctgm', 'valueURI': 'http://id.loc.gov/vocabulary/graphicMaterials/tgm008103', '$': 'Postcards'}
originInfo	{'dateIssued': [{'encoding': 'w3cdtf', 'point': 'start', 'keyDate': 'yes', '$': '1907'}, {'encoding': 'w3cdtf', 'qualifier': 'approximate', 'point': 'end', '$': '1918'}], 'place': {'placeTerm': {'type': 'text', '$': 'Ceylon; printed in Germany'}}}
subject	[{'topic': {'authority': 'lcsh', 'valueURI': 'http://id.loc.gov/authorities/subjects/sh87004041', '$': 'Sri Lankans'}}, {'geographic': {'authority': 'naf', 'valueURI': 'http://id.loc.gov/authorities/names/n80061039', '$': 'Sri Lanka'}}, {'topic': {'authority': 'lctgm', 'valueURI': 'http://id.loc.gov/vocabulary/graphicMaterials/tgm001377', '$': 'Buddhism'}}, {'topic': {'authority': 'lctgm', 'valueURI': 'http://id.loc.gov/vocabulary/graphicMaterials/tgm001381', '$': 'Buddhist temples'}}, {'topic': {'authority': 'lctgm', 'valueURI': 'http://id.loc.gov/vocabulary/graphicMaterials/tgm008771', '$': 'Religious articles'}}]
identifier	[{'type': 'local_hades', 'displayLabel': 'Hades struc ID (legacy)', '$': '2359870'}, {'type': 'uuid', '$': '0a3cf940-c5d3-012f-013f-58d385a7bc34'}]
location	[{'physicalLocation': [{'authority': 'marcorg', 'type': 'repository', '$': 'nn'}, {'type': 'division', '$': 'The Miriam and Ira D. Wallach Division of Art, Prints and Photographs: Picture Collection'}, {'type': 'division_short_name', '$': 'Wallach Division: Picture Collection'}, {'type': 'code', '$': 'MMPC'}]}, {'physicalLocation': {'authority': 'marcorg', 'type': 'repository', '$': 'nn'}, 'shelfLocator': {'$': 'PC POC SRI -- Lif'}}]
name	{'type': 'corporate', 'authority': 'naf', 'valueURI': 'http://id.loc.gov/authorities/names/nb2008016132', 'usage': 'primary', 'namePart': {'$': 'A.W.A. Plâté & Co.'}, 'role': {'roleTerm': [{'valueURI': 'http://id.loc.gov/vocabulary/relators/pbl', 'authority': 'marcrelator', 'type': 'code', '$': 'pbl'}, {'valueURI': 'http://id.loc.gov/vocabulary/relators/pbl', 'authority': 'marcrelator', 'type': 'text', '$': 'Publisher'}]}}
physicalDescription	[{'form': {'authority': 'lctgm', 'valueURI': 'http://id.loc.gov/vocabulary/graphicMaterials/tgm002301', '$': 'Collotypes'}, 'extent': {'$': '14 x 9 cm.'}}, {'form': {'authority': 'lctgm', 'valueURI': 'http://id.loc.gov/vocabulary/graphicMaterials/tgm007730', '$': 'Photomechanical prints'}}]
relatedItem	{'type': 'host', 'titleInfo': {'title': {'$': 'Sri Lanka -- Life'}}, 'identifier': [{'type': 'uuid', '$': '06721550-c5d3-012f-11f7-58d385a7bc34'}, {'type': 'local_hades', '$': '2359154'}], 'relatedItem': {'type': 'host', 'titleInfo': {'title': {'$': 'Pacific pursuits : Postcards'}}, 'identifier': [{'type': 'uuid', '$': '07430830-c5d1-012f-bd22-58d385a7bc34'}, {'type': 'local_hades', '$': '2359114'}]}}
